start,qty_actual,timestamp,machine,material,quality,other,date,version,shift_work,qty_plan,department_id,line_id,process_id,% Plan,ST Plan,ST Actual
1,4300,1615030749,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4301,1615030774,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4302,1615030803,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4303,1615031023,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4304,1615031049,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4305,1615031064,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4306,1615031081,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4307,1615031116,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4308,1615031145,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4309,1615031171,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4310,1615031189,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4311,1615031212,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4312,1615031230,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4313,1615031262,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4314,1615031280,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4315,1615031300,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4316,1615031340,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4317,1615031364,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4318,1615031381,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4319,1615031409,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4320,1615031432,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4321,1615031455,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4322,1615031485,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4323,1615031510,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4324,1615031541,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4325,1615031555,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4326,1615031582,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4327,1615031612,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4328,1615031641,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4329,1615031669,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4330,1615031695,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4331,1615031719,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4332,1615031735,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4333,1615031762,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4334,1615031786,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4335,1615031811,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4336,1615031826,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4337,1615031844,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4338,1615031874,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4339,1615031890,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4340,1615031916,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4341,1615031931,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4342,1615031972,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4343,1615031994,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4344,1615032017,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4345,1615032040,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4346,1615032055,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4347,1615032064,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4348,1615032092,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4349,1615032108,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4350,1615032124,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4351,1615032142,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4352,1615032160,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4353,1615032181,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4354,1615032211,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4355,1615032268,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4356,1615032285,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4357,1615032317,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4358,1615032335,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4359,1615032353,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4360,1615032370,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4361,1615032399,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4362,1615032434,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4363,1615032449,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4364,1615032465,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4365,1615032472,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4366,1615032488,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4367,1615032505,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4368,1615032530,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4369,1615032549,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4370,1615032594,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4371,1615032623,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4372,1615032640,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4373,1615032649,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4374,1615032656,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4375,1615032663,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4376,1615032669,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4377,1615032700,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4378,1615032735,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4379,1615032746,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4380,1615032775,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4381,1615032804,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4382,1615032823,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4383,1615032840,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4384,1615032868,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4385,1615033004,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4386,1615033033,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4387,1615033050,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4388,1615033061,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4389,1615033125,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4390,1615033148,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4391,1615033166,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4392,1615033183,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4393,1615033199,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4394,1615033217,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4395,1615033241,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4396,1615033275,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4397,1615033281,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4398,1615033325,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4399,1615033352,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4400,1615033366,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4401,1615033373,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4402,1615033395,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4403,1615033401,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4404,1615033409,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4405,1615033457,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4406,1615033477,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4407,1615033497,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4408,1615033525,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4409,1615033543,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4410,1615033568,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4411,1615033598,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4412,1615033616,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4413,1615033633,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4414,1615033642,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4415,1615033680,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4416,1615033704,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4417,1615033725,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4418,1615033741,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4419,1615033754,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4420,1615033788,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4421,1615033804,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4422,1615033853,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4423,1615033886,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4424,1615033916,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4425,1615033945,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4426,1615033975,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4427,1615034004,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
